"HDI Rank","Country",2000,"",2005,"",2010,"",2011,"",2012,"",2013,"",2014,"",2015,"",2016,"",2017,"","2010-2017",""
84,"Brazil","7.1","","8.2","","8.8","","9.6","","9.9","","10.4","","10.8","","11.1","","..","","..","","11.1","a,b"
47,"Brunei Darussalam","1.5","","..","","1.5","","2.3","","2.2","","..","","1.7","","..","","2.0","","..","","2.0","a,b"
56,"Bulgaria","..","","4.7","","6.2","","7.4","","7.4","","7.4","","..","","..","","..","","..","","7.4","a,b"
182,"Burkina Faso","..","","6.6","","7.1","","7.5","","7.0","","7.8","","7.1","","7.5","","..","","9.3","","9.3","a,b"
185,"Burundi","1.8","","2.7","","..","","..","","5.8","","6.0","","6.5","","5.9","","5.8","","6.6","","6.6","a,b"
126,"Cape Verde","..","","..","","20.3","","17.9","","..","","19.4","","19.0","","18.0","","16.3","","19.2","","19.2","a,b"
144,"Cambodia","3.7","","..","","5.7","","6.0","","5.7","","5.7","","5.2","","..","","..","","..","","5.2","a,b"
153,"Cameroon","4.3","","5.2","","5.0","","4.7","","5.4","","5.5","","5.8","","6.0","","5.5","","6.0","","6.0","a,b"
16,"Canada","12.3","","12.5","","13.4","","13.1","","..","","..","","..","","..","","..","","..","","13.1","a,b"
188,"Central African Republic","..","","5.6","","1.9","","2.2","","..","","..","","..","","..","","..","","..","","2.2","a,b"
187,"Chad","6.0","","7.9","","1.0","","1.2","","..","","1.2","","..","","..","","..","","3.1","","3.1","a,b"
43,"Chile","4.0","","3.9","","4.9","","4.8","","..","","6.0","","6.4","","6.9","","7.2","","7.4","","7.4","a,b"
83,"Colombia","3.0","","3.0","","3.3","","3.7","","3.5","","3.7","","3.8","","3.8","","3.8","","3.7","","3.7","a,b"
149,"Congo","..","","2.2","","4.6","","..","","..","","..","","1.3","","..","","..","","2.0","","2.0","a,b"
175,"Democratic Republic of Congo","..","","..","","6.2","","..","","..","","4.9","","6.2","","4.8","","6.3","","7.4","","7.4","a,b"
43,"Croatia","..","","..","","7.3","","6.7","","..","","6.7","","..","","..","","..","","..","","6.7","a,b"
70,"Cuba","..","","..","","7.1","","..","","..","","..","","..","","..","","..","","..","","7.1","a,b"
33,"Cyprus","3.6","","5.8","","6.9","","7.5","","..","","8.3","","8.6","","7.9","","9.1","","..","","9.1","a,b"
27,"Czechia","5.0","","5.7","","9.1","","10.4","","10.5","","11.6","","12.0","","13.7","","12.7","","..","","12.7","a,b"
162,"Côte d'Ivoire","..","","6.4","","6.8","","7.3","","7.1","","7.2","","6.6","","5.3","","5.9","","7.5","","7.5","a,b"
10,"Denmark","11.1","","13.1","","13.5","","14.2","","12.9","","15.2","","15.5","","..","","..","","..","","15.5","a,b"
166,"Djibouti","2.7","","2.0","","..","","..","","..","","..","","..","","..","","..","","..","","3.2","a,b,c"
88,"Dominican Republic","6.6","","..","","..","","..","","..","","..","","..","","..","","..","","..","","10.0","a,b,c"
86,"Ecuador","3.1","","..","","3.9","","4.1","","4.5","","4.7","","5.1","","5.2","","..","","..","","5.2","a,b"
116,"Egypt","..","","3.6","","..","","..","","..","","..","","..","","..","","..","","..","","3.8","a,b,c"
124,"El Salvador","14.0","","12.8","","11.3","","11.1","","10.7","","10.7","","11.1","","10.8","","11.2","","10.4","","10.4","a,b"
29,"Estonia","7.6","","5.2","","7.0","","6.5","","5.6","","5.7","","6.0","","5.7","","5.6","","..","","5.6","a,b"
138,"Eswatini","7.0","","7.2","","6.5","","7.1","","..","","..","","8.0","","..","","..","","..","","8.0","a,b"
173,"Ethiopia","1.1","","..","","8.8","","9.1","","11.6","","10.6","","11.2","","12.3","","..","","..","","12.3","a,b"
93,"Fiji","5.0","","6.1","","..","","4.7","","..","","5.3","","..","","..","","..","","..","","5.3","a,b"
