"Natural resource depletion (% of GNI)"
"Dimension: Environmental sustainability"
"By 2030, achieve the sustainable management and efficient use of natural resources"
"Definition: Monetary valuation of energy, mineral and forest depletion, expressed as a percentage of gross national income (GNI)."
"Source: World Bank (2020a). World Development Indicators database. Washington, DC. http://data.worldbank.org. Accessed 22 July 2020."
""
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2015-2018",""
"119"," Gabon","29.8","","24.7","","33.7","","26.2","","24.7","","28.5","","26.4","","21.9","","17.0","","7.4","","6.5","","10.5","","13.8","","13.8","a"
"172"," Gambia","4.5","","2.9","","2.2","","2.5","","3.0","","4.4","","5.7","","5.7","","5.2","","5.6","","6.0","","6.1","","2.4","","2.4","a"
"61"," Georgia","..","","..","","0.3","","0.3","","1.1","","1.6","","0.9","","0.8","","0.4","","0.6","","0.6","","0.5","","0.5","","0.5","a"
"6"," Germany","0.1","","0.0","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"138"," Ghana","1.2","","6.9","","7.2","","10.0","","10.1","","14.1","","14.9","","11.9","","14.5","","13.0","","12.4","","12.8","","12.4","","12.4","a"
"32"," Greece","0.1","","0.0","","0.0","","0.1","","0.1","","0.2","","0.1","","0.1","","0.1","","0.0","","0.0","","0.1","","0.1","","0.1","a"
"127"," Guatemala","1.7","","1.3","","1.1","","0.9","","2.3","","2.5","","1.9","","1.9","","2.5","","1.8","","1.8","","1.4","","1.2","","1.2","a"
"178"," Guinea","9.3","","10.5","","7.5","","13.9","","14.3","","16.5","","16.1","","14.4","","14.4","","13.8","","15.1","","12.4","","9.6","","9.6","a"
"175"," Guinea-Bissau","0.0","","2.7","","4.1","","7.0","","10.1","","9.0","","11.6","","11.8","","12.6","","13.7","","12.8","","11.2","","6.5","","6.5","a"
"122"," Guyana","0.8","","0.4","","0.4","","0.2","","7.8","","11.6","","13.9","","11.5","","7.5","","7.8","","13.1","","11.9","","12.4","","12.4","a"
"170"," Haiti","0.7","","1.2","","0.6","","0.6","","1.1","","0.9","","0.8","","0.9","","1.1","","0.9","","1.3","","1.0","","0.6","","0.6","a"
"132"," Honduras","1.3","","1.1","","0.8","","0.8","","1.9","","1.7","","1.5","","1.7","","2.1","","1.5","","1.8","","1.6","","1.2","","1.2","a"
"40"," Hungary","..","","0.3","","0.4","","0.2","","0.4","","0.5","","0.5","","0.4","","0.3","","0.2","","0.1","","0.2","","0.3","","0.3","a"
"4"," Iceland","..","","..","","..","","..","","..","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"131"," India","2.0","","1.3","","1.4","","1.8","","2.2","","2.5","","1.9","","1.7","","1.4","","0.9","","0.8","","0.9","","1.0","","1.0","a"
"107"," Indonesia","9.1","","3.6","","7.8","","7.1","","4.5","","5.5","","4.4","","3.9","","3.0","","2.0","","1.6","","2.0","","2.7","","2.7","a"
"70"," Iran (Islamic Republic of)","6.6","","6.8","","10.7","","9.5","","5.8","","6.9","","4.8","","5.3","","5.2","","3.2","","3.2","","4.6","","..","","4.6","a"
"123"," Iraq","1.8","","..","","..","","9.3","","8.3","","9.0","","9.6","","9.3","","10.3","","9.4","","8.5","","10.7","","13.4","","13.4","a"
"2"," Ireland","0.2","","0.1","","0.0","","0.0","","0.1","","0.1","","0.1","","0.1","","0.1","","0.0","","0.1","","0.2","","0.1","","0.1","a"
"19"," Israel","0.0","","0.0","","0.0","","0.0","","0.1","","0.1","","0.1","","0.2","","0.2","","0.2","","0.1","","0.1","","0.1","","0.1","a"
"29"," Italy","0.1","","0.0","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.0","","0.0","","0.1","","0.1","a"
"101"," Jamaica","1.2","","0.5","","0.3","","0.4","","0.3","","0.3","","0.2","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","a"
"19"," Japan","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
