1.8,"Ghana",18.2,"",18.8,"",28.4,"",37.6,"",49.7,"",49.8,"",52.6,"",52.5,"",52.5,"","..","",52.5,"a"
32,"Greece",94.6,"",93.8,"",94.6,"",93.4,"",90.4,"",90.9,"",90.1,"",88.0,"",86.0,"",82.6,"",82.6,"a"
1.7,"Guatemala",27.9,"",36.6,"",42.3,"",44.2,"",32.7,"",30.9,"",30.9,"",32.7,"",37.4,"","..","",37.4,"a"
1.0,"Haiti",19.7,"",17.8,"",23.3,"",19.5,"",17.8,"",18.0,"",18.1,"",18.7,"",22.0,"","..","",22.0,"a"
1.2,"Honduras",30.0,"",41.2,"",48.3,"",54.9,"",51.2,"",52.1,"",51.5,"",51.4,"",52.5,"","..","",52.5,"a"
4,"Hong Kong","..","",94.5,"",93.9,"",95.1,"",94.0,"",94.3,"",93.3,"",93.6,"",93.2,"","..","",93.2,"a"
40,"Hungary",81.6,"",81.6,"",80.5,"",80.4,"",74.3,"",73.3,"",71.8,"",69.5,"",68.2,"",69.5,"",69.5,"a"
4,"Iceland",28.6,"",29.3,"",22.6,"",23.7,"",11.5,"",10.3,"",10.3,"",10.4,"",10.9,"",11.3,"",11.3,"a"
1.1,"India",53.8,"",60.0,"",63.7,"",66.0,"",71.4,"",71.5,"",72.4,"",72.3,"",73.6,"","..","",73.6,"a"
1.7,"Indonesia",53.4,"",60.6,"",62.0,"",65.0,"",67.2,"",65.3,"",65.3,"",65.3,"",66.1,"","..","",66.1,"a"
70,"Iran",98.9,"",99.1,"",99.7,"",98.9,"",99.4,"",99.4,"",99.3,"",99.0,"",99.0,"","..","",99.0,"a"
1.3,"Iraq",98.8,"",99.8,"",99.7,"",97.5,"",97.6,"",97.7,"",97.6,"",96.7,"",96.0,"","..","",96.0,"a"
2,"Ireland",85.1,"",88.1,"",92.5,"",90.9,"",90.0,"",88.3,"",86.9,"",86.3,"",84.4,"",85.3,"",85.3,"a"
19,"Israel",97.0,"",97.3,"",97.2,"",96.6,"",96.4,"",96.5,"",96.7,"",96.6,"",91.8,"",97.4,"",97.4,"a"
29,"Italy",93.4,"",93.0,"",91.7,"",89.8,"",84.6,"",84.5,"",82.2,"",80.0,"",78.6,"",79.9,"",79.9,"a"
1.1,"Jamaica",82.6,"",84.9,"",84.6,"",88.9,"",82.7,"",82.5,"",80.8,"",81.4,"",81.0,"","..","",81.0,"a"
19,"Japan",84.6,"",81.5,"",80.7,"",81.6,"",80.9,"",89.8,"",94.6,"",94.6,"",94.4,"",93.0,"",93.0,"a"
1.2,"Jordan",98.1,"",98.6,"",98.5,"",97.9,"",97.3,"",96.0,"",97.3,"",97.6,"",97.6,"","..","",97.6,"a"
51,"Kazakhstan",97.0,"",97.3,"",97.3,"",98.7,"",98.8,"",98.9,"",98.9,"",99.2,"",99.2,"","..","",99.2,"a"
1.3,"Kenya",17.8,"",15.6,"",18.2,"",15.4,"",19.4,"",19.1,"",17.1,"",18.3,"",17.4,"","..","",17.4,"a"
"..","North Korea",93.1,"",89.9,"",90.5,"",89.8,"",66.5,"",63.6,"",64.8,"",59.9,"",62.1,"","..","",62.1,"a"
23,"South Korea",83.8,"",87.1,"",84.0,"",80.6,"",82.9,"",82.7,"",83.2,"",84.2,"",82.4,"",81.0,"",81.0,"a"
64,"Kuwait",99.9,"",100.0,"",100.0,"","..","","..","",95.8,"",92.6,"",96.5,"",93.7,"","..","",93.7,"a"
1.0,"Kyrgyzstan",93.5,"",64.7,"",62.8,"",66.0,"",70.5,"",70.1,"",73.9,"",72.2,"",75.5,"","..","",75.5,"a"
37,"Latvia",81.8,"",66.4,"",63.4,"",63.2,"",65.8,"",62.9,"",58.0,"",58.9,"",56.7,"","..","",56.7,"a"
